state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
Haiti,Honduras,HTI,HND,19,-72.41666666,15,-86.5,Haiti-Honduras,79
Haiti,El Salvador,HTI,SLV,19,-72.41666666,13.83333333,-88.91666666,Haiti-El Salvador,76
Haiti,Nicaragua,HTI,NIC,19,-72.41666666,13,-85,Haiti-Nicaragua,79
Haiti,Costa Rica,HTI,CRI,19,-72.41666666,10,-84,Haiti-Costa Rica,79
Haiti,Panama,HTI,PAN,19,-72.41666666,9,-80,Haiti-Panama,79
Haiti,Colombia,HTI,COL,19,-72.41666666,4,-72,Haiti-Colombia,79
Haiti,Ecuador,HTI,ECU,19,-72.41666666,-2,-77.5,Haiti-Ecuador,79
Haiti,Peru,HTI,PER,19,-72.41666666,-10,-76,Haiti-Peru,79
Haiti,Brazil,HTI,BRA,19,-72.41666666,-10,-55,Haiti-Brazil,79
Haiti,Paraguay,HTI,PRY,19,-72.41666666,-23,-58,Haiti-Paraguay,79
Haiti,Chile,HTI,CHL,19,-72.41666666,-30,-71,Haiti-Chile,79
Haiti,Argentina,HTI,ARG,19,-72.41666666,-34,-64,Haiti-Argentina,79
Haiti,Uruguay,HTI,URY,19,-72.41666666,-33,-56,Haiti-Uruguay,79
Dominican Republic,Mexico,DOM,MEX,19,-70.66666666,23,-102,Dominican Republic-Mexico,79
Dominican Republic,Guatemala,DOM,GTM,19,-70.66666666,15.5,-90.25,Dominican Republic-Guatemala,79
Dominican Republic,Honduras,DOM,HND,19,-70.66666666,15,-86.5,Dominican Republic-Honduras,79
Dominican Republic,El Salvador,DOM,SLV,19,-70.66666666,13.83333333,-88.91666666,Dominican Republic-El Salvador,76
Dominican Republic,Nicaragua,DOM,NIC,19,-70.66666666,13,-85,Dominican Republic-Nicaragua,79
Dominican Republic,Costa Rica,DOM,CRI,19,-70.66666666,10,-84,Dominican Republic-Costa Rica,79
Dominican Republic,Panama,DOM,PAN,19,-70.66666666,9,-80,Dominican Republic-Panama,79
Dominican Republic,Colombia,DOM,COL,19,-70.66666666,4,-72,Dominican Republic-Colombia,79
Dominican Republic,Ecuador,DOM,ECU,19,-70.66666666,-2,-77.5,Dominican Republic-Ecuador,79
Dominican Republic,Peru,DOM,PER,19,-70.66666666,-10,-76,Dominican Republic-Peru,79
Dominican Republic,Brazil,DOM,BRA,19,-70.66666666,-10,-55,Dominican Republic-Brazil,79
Dominican Republic,Paraguay,DOM,PRY,19,-70.66666666,-23,-58,Dominican Republic-Paraguay,79
Dominican Republic,Chile,DOM,CHL,19,-70.66666666,-30,-71,Dominican Republic-Chile,79
Dominican Republic,Argentina,DOM,ARG,19,-70.66666666,-34,-64,Dominican Republic-Argentina,79
Dominican Republic,Uruguay,DOM,URY,19,-70.66666666,-33,-56,Dominican Republic-Uruguay,79
Mexico,Guatemala,MEX,GTM,23,-102,15.5,-90.25,Mexico-Guatemala,79
Mexico,Honduras,MEX,HND,23,-102,15,-86.5,Mexico-Honduras,79
